ProductID,ProductName,TotalSales
---------,-----------,----------
955,Touring-1000 Yellow, 50,$981,187.85
883,Short-Sleeve Classic Jersey, L,$98,472.72
993,Mountain-500 Black, 52,$96,982.20
716,Long-Sleeve Logo Jersey, XL,$95,611.20
762,Road-650 Red, 44,$943,340.56
854,Women's Tights, L,$94,090.64
799,Road-550-W Yellow, 42,$932,039.59
748,HL Mountain Frame - Silver, 38,$930,780.68
925,LL Mountain Frame - Black, 44,$93,584.42
852,Women's Tights, S,$91,330.80
743,HL Mountain Frame - Black, 42,$901,590.23
865,Classic Vest, M,$90,250.60
922,Road Tire Tube,$9,480.24
874,Racing Socks, M,$9,387.15
952,Chain,$9,377.71
839,HL Road Frame - Black, 48,$89,872.17
719,HL Road Frame - Red, 48,$89,872.17
732,ML Road Frame - Red, 48,$89,224.50
761,Road-650 Red, 62,$879,827.94
763,Road-650 Red, 48,$878,666.66
765,Road-650 Black, 58,$869,632.78
856,Men's Bib-Shorts, M,$86,166.05
897,LL Touring Frame - Blue, 58,$800.21
873,Patch Kit/8 Patches,$8,232.60
819,ML Road Front Wheel,$79,354.04
972,Touring-2000 Blue, 54,$772,302.01
968,Touring-1000 Blue, 54,$743,353.03
891,HL Touring Frame - Blue, 50,$74,690.90
800,Road-550-W Yellow, 44,$717,825.91
881,Short-Sleeve Classic Jersey, S,$71,606.07
923,Touring Tire Tube,$7,425.12
902,LL Touring Frame - Yellow, 58,$7,201.87
941,Touring Pedal,$7,143.32
975,Road-350-W Yellow, 44,$694,003.92
863,Full-Finger Gloves, L,$69,943.21
944,LL Mountain Frame - Silver, 40,$69,934.28
886,LL Touring Frame - Yellow, 62,$69,127.14
890,HL Touring Frame - Blue, 46,$68,667.44
833,ML Road Frame-W - Yellow, 40,$68,167.51
920,LL Mountain Frame - Silver, 52,$67,332.75
956,Touring-1000 Yellow, 54,$667,158.15
953,Touring-2000 Blue, 60,$635,723.72
924,LL Mountain Frame - Black, 42,$63,396.70
895,LL Touring Frame - Blue, 50,$63,216.43
758,Road-450 Red, 52,$621,103.74
804,HL Fork,$61,034.61
919,LL Mountain Frame - Silver, 48,$6,970.92
709,Mountain Bike Socks, M,$6,060.39
918,LL Mountain Frame - Silver, 44,$58,777.53
899,LL Touring Frame - Yellow, 44,$58,699.39
826,LL Road Rear Wheel,$58,655.37
998,Road-750 Black, 48,$578,174.31
926,LL Mountain Frame - Black, 48,$57,851.36
868,Women's Mountain Shorts, M,$57,685.76
859,Half-Finger Gloves, M,$54,545.49
764,Road-650 Red, 52,$523,630.15
766,Road-650 Black, 60,$521,898.26
887,HL Touring Frame - Yellow, 46,$52,404.10
999,Road-750 Black, 52,$515,666.91
710,Mountain Bike Socks, L,$513.00
809,ML Mountain Handlebars,$51,753.71
712,AWC Logo Cap,$51,229.45
768,Road-650 Black, 44,$509,245.01
754,Road-450 Red, 58,$507,978.30
747,HL Mountain Frame - Black, 38,$501,788.20
786,Mountain-300 Black, 40,$501,648.88
948,Front Brakes,$50,299.31
908,LL Mountain Seat/Saddle,$5,636.96
811,LL Road Handlebars,$5,422.54
903,LL Touring Frame - Blue, 44,$5,001.30
742,HL Mountain Frame - Silver, 46,$499,556.57
888,HL Touring Frame - Yellow, 50,$49,994.72
835,ML Road Frame-W - Yellow, 44,$485,700.55
787,Mountain-300 Black, 44,$484,051.52
930,HL Mountain Tire,$48,860.00
862,Full-Finger Gloves, M,$48,210.18
788,Mountain-300 Black, 48,$479,071.90
855,Men's Bib-Shorts, S,$47,214.37
878,Fender Set - Mountain,$46,619.58
900,LL Touring Frame - Yellow, 50,$45,611.86
849,Men's Sports Shorts, M,$45,594.28
736,LL Road Frame - Black, 44,$45,164.68
785,Mountain-300 Black, 38,$442,477.09
949,LL Crankset,$44,855.24
945,Front Derailleur,$44,484.27
970,Touring-2000 Blue, 46,$438,867.48
813,HL Road Handlebars,$43,395.60
896,LL Touring Frame - Blue, 54,$42,210.97
906,ML Mountain Frame-W - Silver, 46,$41,069.35
782,Mountain-200 Black, 38,$4,400,592.80
913,HL Road Seat/Saddle,$4,232.26
783,Mountain-200 Black, 42,$4,009,494.76
718,HL Road Frame - Red, 44,$395,182.70
717,HL Road Frame - Red, 62,$394,255.57
817,HL Mountain Front Wheel,$39,988.64
806,ML Headset,$39,909.11
879,All-Purpose Bike Stand,$39,591.00
996,HL Bottom Bracket,$39,581.44
937,HL Mountain Pedal,$38,018.33
838,HL Road Frame - Black, 44,$375,026.98
977,Road-750 Black, 58,$361,145.31
858,Half-Finger Gloves, S,$36,490.55
961,Touring-3000 Yellow, 44,$358,121.89
965,Touring-3000 Yellow, 62,$351,547.71
979,Touring-3000 Blue, 50,$348,581.50
929,ML Mountain Tire,$34,818.39
810,HL Mountain Handlebars,$34,375.35
857,Men's Bib-Shorts, L,$34,178.20
816,ML Mountain Front Wheel,$33,360.39
892,HL Touring Frame - Blue, 54,$324,333.10
981,Mountain-400-W Silver, 40,$323,703.82
889,HL Touring Frame - Yellow, 54,$323,268.26
940,HL Road Pedal,$32,849.54
733,ML Road Frame - Red, 52,$32,120.82
767,Road-650 Black, 62,$312,250.81
769,Road-650 Black, 48,$310,946.58
755,Road-450 Red, 60,$306,177.90
759,Road-650 Red, 58,$304,012.64
822,ML Road Frame-W - Yellow, 38,$303,330.84
756,Road-450 Red, 44,$302,678.72
836,ML Road Frame-W - Yellow, 48,$301,286.79
779,Mountain-200 Silver, 38,$3,693,678.03
780,Mountain-200 Silver, 42,$3,438,478.86
781,Mountain-200 Silver, 46,$3,434,256.94
784,Mountain-200 Black, 46,$3,309,673.22
898,LL Touring Frame - Blue, 62,$3,000.78
738,LL Road Frame - Black, 52,$299,595.52
962,Touring-3000 Yellow, 50,$291,747.26
997,Road-750 Black, 44,$290,298.62
958,Touring-3000 Blue, 54,$290,075.12
971,Touring-2000 Blue, 50,$286,218.66
870,Water Bottle - 30 oz.,$28,654.16
933,HL Road Tire,$27,970.80
934,Touring Tire,$27,105.65
739,HL Mountain Frame - Silver, 42,$269,874.01
894,Rear Derailleur,$25,725.23
980,Mountain-400-W Silver, 38,$241,773.76
723,LL Road Frame - Black, 60,$24,844.69
939,ML Road Pedal,$24,624.89
876,Hitch Rack - 4-Bike,$237,096.16
885,HL Touring Frame - Yellow, 60,$232,378.26
932,ML Road Tire,$23,140.74
983,Mountain-400-W Silver, 46,$227,347.67
893,HL Touring Frame - Blue, 60,$221,720.95
860,Half-Finger Gloves, L,$22,912.26
815,LL Mountain Front Wheel,$22,462.84
931,LL Road Tire,$22,435.56
808,LL Mountain Handlebars,$22,008.27
982,Mountain-400-W Silver, 42,$217,457.87
959,Touring-3000 Blue, 58,$210,946.18
882,Short-Sleeve Classic Jersey, M,$21,973.93
928,LL Mountain Tire,$21,541.38
713,Long-Sleeve Logo Jersey, S,$21,445.71
938,LL Road Pedal,$21,087.19
832,ML Mountain Frame - Black, 48,$200,284.50
841,Men's Sports Shorts, S,$20,365.00
828,HL Road Rear Wheel,$20,238.16
871,Mountain Bottle Cage,$20,229.75
727,LL Road Frame - Red, 52,$20,104.44
793,Road-250 Black, 44,$2,516,857.31
794,Road-250 Black, 48,$2,347,655.95
927,LL Mountain Frame - Black, 52,$2,248.11
795,Road-250 Black, 52,$2,012,447.78
715,Long-Sleeve Logo Jersey, L,$198,754.98
963,Touring-3000 Yellow, 54,$196,809.98
729,LL Road Frame - Red, 60,$195,933.41
904,ML Mountain Frame-W - Silver, 40,$195,826.39
725,LL Road Frame - Red, 44,$194,692.60
807,HL Headset,$19,083.69
877,Bike Wash - Dissolver,$18,406.97
823,LL Mountain Rear Wheel,$18,005.27
722,LL Road Frame - Black, 58,$177,635.90
853,Women's Tights, M,$17,727.64
825,HL Mountain Rear Wheel,$166,013.28
711,Sport-100 Helmet, Blue,$165,406.62
911,LL Road Seat/Saddle,$162.72
988,Mountain-500 Silver, 52,$161,293.35
708,Sport-100 Helmet, Black,$160,869.52
802,LL Fork,$16,897.08
910,HL Mountain Seat/Saddle,$16,392.10
843,Cable Lock,$16,240.22
850,Men's Sports Shorts, L,$16,017.33
707,Sport-100 Helmet, Red,$157,772.39
992,Mountain-500 Black, 48,$157,569.08
864,Classic Vest, S,$156,398.07
907,Rear Brakes,$15,719.40
921,Mountain Tire Tube,$15,444.05
872,Road Bottle Cage,$15,390.88
951,HL Crankset,$148,622.58
984,Mountain-500 Silver, 40,$145,089.43
987,Mountain-500 Silver, 48,$142,897.27
741,HL Mountain Frame - Silver, 48,$141,635.10
985,Mountain-500 Silver, 42,$141,360.50
830,ML Mountain Frame - Black, 40,$14,229.41
730,LL Road Frame - Red, 62,$137,213.49
867,Women's Mountain Shorts, S,$137,164.13
905,ML Mountain Frame-W - Silver, 42,$136,970.66
869,Women's Mountain Shorts, L,$136,774.02
757,Road-450 Red, 48,$136,467.86
990,Mountain-500 Black, 42,$136,293.48
960,Touring-3000 Blue, 62,$135,284.01
978,Touring-3000 Blue, 44,$133,365.03
726,LL Road Frame - Red, 48,$132,125.25
964,Touring-3000 Yellow, 58,$130,898.58
875,Racing Socks, L,$13,784.59
744,HL Mountain Frame - Black, 44,$13,765.92
844,Minipump,$13,514.69
916,HL Touring Seat/Saddle,$13,454.78
831,ML Mountain Frame - Black, 44,$129,529.46
884,Short-Sleeve Classic Jersey, XL,$129,145.57
991,Mountain-500 Black, 44,$125,925.67
986,Mountain-500 Silver, 44,$122,512.43
936,ML Mountain Pedal,$12,852.63
866,Classic Vest, L,$12,839.70
909,ML Mountain Seat/Saddle,$12,497.17
994,LL Bottom Bracket,$12,244.93
947,HL Touring Handlebars,$12,087.24
824,ML Mountain Rear Wheel,$119,892.16
714,Long-Sleeve Logo Jersey, M,$115,249.21
820,HL Road Front Wheel,$112,286.41
861,Full-Finger Gloves, S,$11,410.30
814,ML Mountain Frame - Black, 38,$107,557.58
745,HL Mountain Frame - Black, 48,$106,078.56
880,Hydration Pack - 70 oz.,$105,826.42
989,Mountain-500 Black, 40,$101,734.12
917,LL Mountain Frame - Silver, 42,$100,569.36
935,LL Mountain Pedal,$10,908.01
827,ML Road Rear Wheel,$10,574.78
950,ML Crankset,$10,464.79
915,ML Touring Seat/Saddle,$1,972.66
805,LL Headset,$1,949.40
753,Road-150 Red, 56,$1,847,818.63
976,Road-350-W Yellow, 48,$1,774,883.56
749,Road-150 Red, 62,$1,769,096.69
969,Touring-1000 Blue, 60,$1,721,242.51
973,Road-350-W Yellow, 40,$1,657,198.18
792,Road-250 Red, 58,$1,587,008.18
966,Touring-1000 Blue, 46,$1,586,953.57
946,LL Touring Handlebars,$1,548.62
751,Road-150 Red, 48,$1,540,803.06
942,ML Mountain Frame-W - Silver, 38,$1,529.18
957,Touring-1000 Yellow, 60,$1,518,133.10
796,Road-250 Black, 58,$1,506,377.63
914,LL Touring Seat/Saddle,$1,480.75
789,Road-250 Red, 44,$1,448,122.48
954,Touring-1000 Yellow, 46,$1,426,372.87
752,Road-150 Red, 52,$1,415,563.61
777,Mountain-100 Black, 44,$1,365,852.38
790,Road-250 Red, 48,$1,348,759.50
750,Road-150 Red, 44,$1,340,419.94
775,Mountain-100 Black, 38,$1,339,997.25
771,Mountain-100 Silver, 38,$1,291,868.70
776,Mountain-100 Black, 42,$1,254,722.73
778,Mountain-100 Black, 48,$1,234,276.03
801,Road-550-W Yellow, 48,$1,233,938.88
797,Road-550-W Yellow, 38,$1,227,910.08
773,Mountain-100 Silver, 44,$1,217,210.36
943,LL Mountain Frame - Black, 40,$1,198.99
772,Mountain-100 Silver, 42,$1,186,494.85
974,Road-350-W Yellow, 42,$1,120,066.36
967,Touring-1000 Blue, 50,$1,071,401.06
798,Road-550-W Yellow, 40,$1,071,291.78
791,Road-250 Red, 52,$1,066,766.61
770,Road-650 Black, 52,$1,042,909.78
774,Mountain-100 Silver, 48,$1,019,657.00
760,Road-650 Red, 60,$1,016,529.02

(266 rows affected)
