Year,Month,OrderCount
----,-----,----------
2011,5,43
2011,6,141
2011,7,231
2011,8,250
2011,9,157
2011,10,327
2011,11,230
2011,12,228
2012,1,336
2012,2,219
2012,3,304
2012,4,269
2012,5,293
2012,6,390
2012,7,385
2012,8,285
2012,9,352
2012,10,321
2012,11,383
2012,12,378
2013,1,400
2013,2,325
2013,3,441
2013,4,428
2013,5,428
2013,6,719
2013,7,1740
2013,8,1789
2013,9,1791
2013,10,1968
2013,11,2103
2013,12,2050
2014,1,2141
2014,2,1756
2014,3,2399
2014,4,2115
2014,5,2411
2014,6,939

(38 rows affected)
